Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
Godzilla 2000,1999,107 min.,Takao Okawara,Takehiro Murata,Shiro Sano,Action
Crazed Fruit,1956,86 min.,Kô Nakahira,Masahiko Tsugawa,Yujiro Ishihara,Drama
Exit of Rip and the Dwarf,1896,1 min.,William K.L. Dickson,Joseph Jefferson,,Based-on-19th-Century-Literature
14 Carrot Rabbit,1952,7 min.,Friz Freleng,,,Animation
Chained Heat,1983,95 min.,Paul Nicholas,Stella Stevens,John Vernon,Crime
Samurai Assassin,1965,122 min.,Kihachi Okamoto,Toshirô Mifune,Keiju Kobayashi,Action
Cube 2: Hypercube,2002,95 min.,Andrzej Sekula,Paul Robbins,Andrew Scorer,Escape Film
Robot Carnival,1991,90 min.,"Atsuko Fukushima, Hiroyuki Kitakubo, Hiroyuki Kitazume, Mao Lamdao, Kôji Morimoto, Takashi Nakamura, Hidetoshi Ômori, Katsuhiro Ôtomo, Yasuomi Umetsu",Kôji Moritsugu,Yayoi Maki,Animation
"After the Ball, the Bath",1897,1 min.,Georges Méliès,Jane Brady,Jeanne d'Alcy,Short Film
Sound City,2013,106 min.,Dave Grohl,Dave Grohl,Stevie Nicks,Documentary
The Racket,1951,88 min.,John Cromwell,Robert Mitchum,Lizabeth Scott,Crime Drama
Burn!,1969,112 min.,Gillo Pontecorvo,Renato Salvatori,Joseph P. Persaud,Drama
Zu: Warriors from the Magic Mountain,1983,95 min.,Hark Tsui,Biao Yuen,Hoi Mang,Action
Ned Kelly,2003,110 min.,Gregor Jordan,Heath Ledger,Orlando Bloom,Based-on-a-True-Story
Humorous Phases of Funny Faces,1906,3 min.,J. Stuart Blackton,J. Stuart Blackton,,Animation
New York Subway,1905,6 min.,G.W. Bitzer,,,Documentary
Theodora Goes Wild,1936,94 min.,Richard Boleslawski,Irene Dunne,Melvyn Douglas,Comedy
The Bigamist,1953,80 min.,Ida Lupino,Joan Fontaine,Ida Lupino,Drama
In the Navy,1941,86 min.,Arthur Lubin,The Andrews Sisters,Bud Abbott,Comedy
Chi-Raq,2015,90 min.,Spike Lee,Nick Cannon,Teyonah Parris,Comedy Drama
Seduced and Abandoned,1964,115 min.,Pietro Germi,Stefania Sandrelli,Saro Urzi,Comedy
Wanderlust,2012,98 min.,David Wain,Paul Rudd,Jennifer Aniston,Comedy
The Hundred-Foot Journey,2014,112 min.,Lasse Hallström,Helen Mirren,Charlotte Le Bon,Comedy Drama
Angel on My Shoulder,1946,100 min.,Archie Mayo,Paul Muni,Anne Baxter,Comedy
Hell Comes to Frogtown,1988,86 min.,"Donald G. Jackson, R.J. Kizer",Roddy Piper,Sandahl Bergman,Action Comedy
Madman,1981,88 min.,Joe Giannone,Gaylen Ross,Tony Fish,Horror
Golgo 13,1983,91 min.,Osamu Dezaki,Tetsurô Sagawa,Gorô Naya,Action Thriller
Employees Leaving the Lumiere Factory,1895,1 min.,Louis Lumière,,,Documentary
Faults,2014,89 min.,Riley Stearns,Mary Elizabeth Winstead,Lance Reddick,Black Comedy
Fando and Lis,1968,93 min.,Alejandro Jodorowsky,Sergio Kleiner,Diana Mariscal,Adventure
Personal Best,1982,124 min.,Robert Towne,Mariel Hemingway,Scott Glenn,Drama
Waking the Dead,2000,105 min.,Keith Gordon,Billy Crudup,Jennifer Connelly,Drama
Manufacturing Consent: Noam Chomsky and the Media,1992,167 min.,"Mark Achbar, Peter Wintonick",Noam Chomsky,Mark Achbar,Biography
Jungle Book,1942,108 min.,Zoltan Korda,Sabu,Joseph Calleia,Adventure
The Edge of the World,1937,81 min.,Michael Powell,John Laurie,Belle Chrystall,Docudrama
When the Clouds Roll By,1919,85 min.,Victor Fleming,Douglas Fairbanks,Kathleen Clifford,Comedy
Pokémon the Movie: 2000,2000,99 min.,Michael Haigney,Veronica Taylor,Rachael Lillis,Adventure
Rocky V,1990,104 min.,John G. Avildsen,Sylvester Stallone,Talia Shire,Drama
The Best Offer,2013,124 min.,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Crime
Torchwood: Children Of Earth,2009,300 min.,Euros Lyn,John Barrowman,Eve Myles,Adventure
The Foreigner,2017,114 min.,Martin Campbell,Jackie Chan,Pierce Brosnan,Action Thriller
Berlin Express,1948,87 min.,Jacques Tourneur,Merle Oberon,Robert Ryan,Action Thriller
Cold Fish,2010,144 min.,Sion Sono,Makoto Ashikawa,Denden,Based-on-a-True-Story
