"['The Great Escape', '1963', '172 min.', 'John Sturges', 'Steve McQueen', 'Richard Attenborough', 'Adventure']"
"['City of God', '2002', '130 min.', 'Fernando Meirelles, Kátia Lund', 'Leandro Firmino da Hora', 'Matheus Nachtergaele', 'Based-on-20th-Century-Literature']"
"['The Hidden Fortress', '1958', '139 min.', 'Akira Kurosawa', 'Toshirô Mifune', 'Minoru Chiaki', 'Adventure']"
"['Willy Wonka & the Chocolate Factory', '1971', '100 min.', 'Mel Stuart', 'Jack Albertson', 'Julie Dawn Cole', 'Adventure']"
"['The King of Comedy', '1982', '109 min.', 'Martin Scorsese', 'Robert De Niro', 'Jerry Lewis', 'Black Comedy']"
"['The Battle of Algiers', '1966', '121 min.', 'Gillo Pontecorvo', 'Brahim Hadjadj', 'Jean Martin', 'Docudrama']"
"['Metropolis', '1927', '153 min.', 'Fritz Lang', 'Alfred Abel', 'Heinrich George', 'Cyberpunk / Tech Noir']"
"['Breathless', '1960', '90 min.', 'Jean-Luc Godard', 'Jean-Paul Belmondo', 'Jean Seberg', 'Crime Drama']"
"['E.T.: The Extra-Terrestrial', '1982', '115 min.', 'Steven Spielberg', 'Dee Wallace', 'Henry Thomas', 'Adventure Drama']"
"['The Life and Death of Colonel Blimp', '1943', '163 min.', 'Michael Powell, Emeric Pressburger', 'Roger Livesey', 'Deborah Kerr', 'Costume Romance']"
"['The Long Goodbye', '1973', '112 min.', 'Robert Altman', 'Elliott Gould', 'Nina Van Pallandt', 'Based-on-20th-Century-Literature']"
"['Django Unchained', '2012', '165 min.', 'Quentin Tarantino', 'Jamie Foxx', 'Christoph Waltz', 'Drama']"
"['The Shop Around the Corner', '1940', '99 min.', 'Ernst Lubitsch', 'Margaret Sullavan', 'James Stewart', 'Comedy']"
"['WALL·E', '2008', '98 min.', 'Andrew Stanton', 'Fred Willard', 'Jeff Garlin', 'Adventure Comedy']"
"['To Kill a Mockingbird', '1962', '129 min.', 'Robert Mulligan', 'Gregory Peck', 'Mary Badham', 'Based-on-20th-Century-Literature']"
"['Scarface', '1983', '170 min.', 'Brian De Palma', 'Al Pacino', 'Mary Elizabeth Mastrantonio', 'Crime Drama']"
"['The Hustler', '1961', '134 min.', 'Robert Rossen', 'Paul Newman', 'Jackie Gleason', 'Addiction Drama']"
"['Dial M for Murder', '1954', '105 min.', 'Alfred Hitchcock', 'Ray Milland', 'Grace Kelly', 'Based-on-Theatre']"
"['12 Monkeys', '1995', '129 min.', 'Terry Gilliam', 'Bruce Willis', 'Madeleine Stowe', 'Cyberpunk / Tech Noir']"
"['The Wild Bunch', '1969', '145 min.', 'Sam Peckinpah', 'William Holden', 'Robert Ryan', 'Action']"
"['Ugetsu', '1953', '94 min.', 'Kenji Mizoguchi', 'Masayuki Mori', 'Machiko Kyô', 'Costume Romance']"
"['American Beauty', '1999', '122 min.', 'Sam Mendes', 'Kevin Spacey', 'Annette Bening', 'Comedy Drama']"
"['The Lady Vanishes', '1938', '97 min.', 'Alfred Hitchcock', 'Margaret Lockwood', 'Michael Redgrave', 'Based-on-20th-Century-Literature']"
"['The Incredibles', '2004', '115 min.', 'Brad Bird', 'Craig T. Nelson', 'Holly Hunter', 'Action Comedy']"
"['Braveheart', '1995', '177 min.', 'Mel Gibson', 'Mel Gibson', 'Patrick McGoohan', 'Adventure Drama']"
"['The French Connection', '1971', '104 min.', 'William Friedkin', 'Gene Hackman', 'Fernando Rey', 'Action Thriller']"
"['Bride of Frankenstein', '1935', '75 min.', 'James Whale', 'Boris Karloff', 'Elsa Lanchester', 'Based-on-19th-Century-Literature']"
